id	document	label
9976970	아 더빙 .. 진짜 짜증나네요 목소리	0
3819312	흠 ... 포스터 보고 초딩 영화 줄 .... 오버 연기 조차 가볍지 않구나	1
10265843	너 무재 밓었 다그 래서 보는것을 추천 한 다	0
9045019	교도소 이야기 구먼 .. 솔직히 재미 는 없다 .. 평점 조정	0
6483659	사이 몬페 그 의 익살스런 연기 가 돋보였던 영화 ! 스파이더맨 에서 늙어 보이기만 했던 커스틴 던스트 가 너무나도 이뻐 보였다	1
5403919	막 걸음 마 뗀 3 세 부터 초등학교 1 학년 생인 8 살용 영화 . ㅋㅋㅋ ... 별 반개 도 아까 움 .	0
7797314	원작 의 긴장감 을 제대로 살려내지못 했다 .	0
9443947	별 반개 도 아깝다 욕 나온다 이응경 길용우 연 기 생활 이 몇 년 인지 .. 정말 발 로 해도 그것 보단 낫겟다 납치 . 감금 만 반복 반복 .. 이 드라마 는 가족 도 없다 연기 못 하는 사람 만 모 엿 네	0
7156791	액션 이 없는데도 재미 있는 몇 안되는 영화	1
5912145	왜케 평점 이 낮은건데 ? 꽤 볼 만 한 데 .. 헐리우드 식 화려함에만 너무 길들여져 있나 ?	1
9008700	걍 인피니트 가 짱 이다 . 진짜 짱 이다 ♥	1
10217543	볼때 마다 눈물나서 죽겠다 90년 대의 향수 자극 !! 허진호 는 감성 절제 멜로 의 달인 이다 ~	1
5957425	울면 서 손 들 고 횡단보도 건널 때 뛰 쳐나 올 뻔 이범수 연기 드럽게 못 해	0
8628627	담백하고 깔끔해서 좋다 . 신 문 기 사 로만 보다 보면 자꾸 잊어버린다 . 그 들 도 사람 이었다는 것 을 .	1
9864035	취향 은 존중 한 다지 만 진짜 내생 에 극장 에서 본 영화 중 가장 노잼 노 감동 임 스토리 도 어거지 고 감동 도 어거지	0
6852435	ㄱ 냥 매번 긴장 되고 재밋음 ㅠㅠ	1
9143163	참 사람 들 웃긴게 바스코 가 이기 면 락스 코 라고 까고 바비 가 이기 면 아이돌 이라고 깐다 . 그냥 까고싶어서 안달 난 것 처럼 보인다	1
4891476	굿바이 레닌 표절 인 것 은 이해 하는데 왜 뒤 로 갈수록 재미 없어지냐	0
7465483	이건 정말 깨알 캐스팅 과 질퍽 하 지 않은 산뜻한 내 용구성 이 잘 버무러진 깨알 일드 !! ♥	1
3989148	약탈 자 를 위 한 변명 , 이라 . 저 놈 들 은 착한 놈 들 절대 아닌 걸 요 .	1
4581211	나름 심오한 뜻 도 있는 듯 . 그냥 학생 이 선생 과 놀아나는 영화 는 절대 아님	1
2718894	보면서 웃지 않는 건 불가능하다	1
9705777	재미없다 지루하고 . 같은 음식 영화 인데 도 바베트 의 만찬 하고 넘 차이남 .... 바베트 의 만찬 은 이야기 도 있고 음식 보는 재미 도 있는데 ; 이건 볼 게 없다 음식 도 별로 안 나오고 , 핀란드 풍경 이라도 구 경 할랫 는데 그것 도 별로 안 나옴 ㅡㅡ	0
471131	절대 평범한 영화 가 아닌 수작 이라 는걸 말씀드립니다 .	1
8480268	주제 는 좋은데 중반 부터 지루하다	0
4254115	다 짤랐을꺼 야 . 그래서 납득 할 수 없었던거야 .. 그럴꺼야 .. 꼭 그랬던걸 꺼야 ..	0
7295746	kl 2 g 고추 를 털어 버려야 할텐데	1
5457633	카밀라 벨 발연기	0
6091784	재밋는뎅	1
8322926	센스 있는 연출 력 .. 탁월한 캐스팅 .. 90년 대의 향수 .. 그래서 9 점 ..	1
6331922	엄포스 의 위력 을 다시 한번 깨닫게 해준 적 . 남 꽃 검사 님 도 연기 정말 좋았어요 ! 완전 명품 드라마 !	1
9005897	졸 쓰레기 진부하고말 도안 됌 ㅋㅋ 아 .. 시간 아까워	0
164908	재밌는데 별 점 이 왜 이리 낮은고	1
9671124	1% 라도 기대했던 내 가 죄인 입니다 죄인 입니다 ....	0
5712231	아직도 이 드라마 는 내 인생 의 최고 !	1
4726746	패션 에 대한 열정 ! 안나 윈 투어 !	1
7203432	키이라 나이틀리 가 연기 하고자 했던건 대체 정신장애 일까 틱장애 일까	0
112724	허허 ... 원작 가 정신 나간 유령 이라 ... 재미있겠네요 !	1
1105872	포스터 는 있어 보이는데 관객 은 114 명 이네	0
4805788	이 영화 가 왜 이렇게 저 평가 받는지 모르겠다	1
9336496	단순하면서 은은한 매력 의 영화	1
9994900	' 다 알바생 인가 내용 도 없고 무서운거도 없고 웃긴거도 하나 도 없음 완전 별 싱거운 영화 . ㅇ . ㅇ 내 ㅇ 시간 넘 아까 움 .. . 완전 낚임	0
6760577	오게 두어라 ! 서리 한 이 굶주렸다 !	1
3440864	정말 맘 에 들어요 . 그래서 또 보고싶은데 또 보는 방법 이 없네 ? >.. ㅜㅡ	1
8548510	윤제문 이라는 멋진 배우 를 발견 하게 됐어요 . 소소한 일 탈 이 잔잔한 미소 를 머금 게 합니다 . 음악 은 조금 아쉽네요 ㅠㅠ 8 점 주고 싶은데 평점 올리고 싶어 10 점 줄게요 ^^	1
7719892	평점 에 속지 마시길 시간 낭비 돈 낭비 임	0
9440670	리얼리티 가 뛰어나긴 한데 큰 공감 은 안 간다 . 이민기 캐릭터 는 정신의학 상 분노조절 장애 초기 증상 일거다 . 툭하면 사람 패 고 욕 하고 물건 파손 하고 .. 조금 오 바 였음 . 극 초반 엔 신선했는데 가면 갈수록 이민기 정신 상태 공감 불가 .	0
7991636	마이너스 는 왜 없냐 ㅋ 뮤비 보고 영화 수준 딱 알 만 하더군 ㅉㅉ 북한 에서 이런거 만들라고 돈 대주던 ?	0
4679407	난 우리 영화 를 사랑 합니다 ....^^;	0
9837767	데 너 리스 타르 가르엔 ... 나도 용의 주인 이 되고 싶다 ... 누 이랑 , 근친상간 이나 하고 다닐지라도 , 소설 속 에선 제일 멋진 놈 이 자 이 메 라 니스 터 였는데 , 드라마 속 에선 , 드래곤 ( 용 ) 이 제일 멋지네 ( 웃음 ) 감독 님 토르 - 2 다크 월드 는 말 아 잡수셨을지라도 , 기본 선방 은 했음	1
9063648	영화 가 사람 의 영혼 을 어루만져 줄 수도 있군요 거친 세 상사 를 잠시 잊고 동화 같은 영화 에 행복했네요	1
8272095	야 세르게이 ! 작은 고추 의 매운 맛 을 보여주마 ! 포퐁 저그 콩 진호 가 간다	0
2345905	이렇게 가슴 시리 게 본 드라마 가 또 있을까 ? 감동 그 자체 !	1
7865630	난또 저 꼬마 애가 무슨 원한 이 깊길래 .,. 했더니 OO 그냥 혼자 나대다 OO 걸 어쩌라고 .	0
7207064	재미있어요	1
5719655	전 좋아요	1
1651126	최고	0
7246040	너무 충격 적이엇다 . 기분 을 완전히 푹 꺼지게 하는 느낌 ... 활 력 이라고는 하나 도 없는 너무나도 무거운 .... 지독하고 차갑고 무자비하다 . 그저 일본인 들 의 상상력 은 정말 대단한거 같다는 생각 이 든다 .	1
717775	심심한 영화 .	0
8317483	백봉기 언제 나오나요 ?	1
1031725	보는내내 그대로 들어맞는 예측 카리스마 없는 악역	0
3993146	불알 이 나와서 당황 ... 아무튼 영화 가 중간 에 끝나는 느낌	0
2196616	평범함 속 에 녹아든 평범한 일상 . 조금 밋밋한게 흠 .	0
8203798	보던거라 계속 보고있는데 전개도 느리고 주인공 인 은희 는 한두 컷 나오면서 소 극적 인 모습 에 짜증 이 ㅜㅜ 맨날 언제 끝나나 기 대만 하고 있어요 전개 좀 빨리 빨리 ㅜㅜ	0
2332588	사랑 하고 싶게하는 , 가슴속 온 감정 을 헤집어놓는 영화 예요 정말 최고 .	1
10084753	많은 사람 들 이 이 다큐 를 보고 우리나라 슬픈 현대 사의 한 단면 에 대해 깊이 생각 하고 사죄 하고 바로 잡기 위해 노력 했으면 합니다 . 말로 만 듣던 보도 연맹 , 그 민간인 학살 이 이정 도 일 줄 이야 . 이건 명백한 살인 입니다 . 살인자 들 은 다 어디 있나요 ?	1
8518645	예전 작품 캐릭터 , 에피소드 재탕 삼 탕 사골 우려 먹듯 우리 고 내용 은 산 으로 가고 시청률 은 아예 안 나오고 이제 70회 중반인데 120 부작 이라니 ...	0
7956793	김남길 의 백 점 짜리 연기력 과 초반 몰입도 에도 불구 하고 지루하고 손예진 ㅈㅈ	0
3996917	재밌네 비슷한 영화 를 안 보신 분 들 한테 는 재미있을 듯	1
8128006	노래실력 으로 뽑는게 맞냐 ? 박시환 이 mama 나가면 진짜 망신 이다	0
2192046	아 일본 영화 다 이런 건가 ?? 유치하다	0
